batch_id,upload_exists,developed_exists,raw_number,jpg_number,metadata_exists,metadata_json_number
NC_2022-11-28/,0,1,0,501,0,0
NC_2022-12-01/,0,1,0,513,0,0
NC_2022-12-08/,0,1,0,520,0,0
NC_2022-12-13/,0,1,0,524,0,0
NC_2022-12-16/,0,1,0,516,0,0
NC_2022-12-19/,0,1,0,511,0,0
NC_2022-12-21/,0,1,0,523,0,0
NC_2023-01-03/,0,1,0,345,0,0
NC_2023-01-05/,0,1,0,300,0,0
NC_2023-01-09/,0,1,0,300,0,0
NC_2023-01-11/,0,1,0,308,0,0
NC_2023-01-13/,0,1,0,298,1,298
NC_2023-01-18/,0,1,0,295,1,292
NC_2023-01-20/,0,1,0,288,0,0
NC_2023-01-23/,0,1,0,322,0,0
NC_2023-01-27/,0,1,0,302,0,0
NC_2023-01-30/,0,1,0,99,0,0
NC_2023-02-01/,0,1,0,305,0,0
NC_2023-02-03/,0,1,0,313,1,304
NC_2023-02-06/,0,1,0,294,1,271
NC_2023-02-08/,0,1,0,309,0,0
NC_2023-02-10/,0,1,0,102,0,0
NC_2023-02-20/,0,1,0,294,1,291
NC_2023-02-22/,0,1,0,334,1,333
NC_2023-02-24/,0,1,0,300,0,0
NC_2023-02-27/,0,1,0,300,0,0
NC_2023-03-01/,0,1,0,309,1,309
NC_2023-03-03/,0,1,0,233,1,233
NC_2023-03-07/,0,1,0,299,1,283
NC_2023-03-09/,0,1,0,297,1,297
NC_2023-03-13/,0,1,0,311,0,0
NC_2023-03-15/,0,1,0,303,1,303
NC_2023-03-17/,0,1,0,305,0,0
NC_2023-03-20/,0,1,0,303,0,0
NC_2023-03-21/,0,1,0,306,0,0
NC_2023-03-22/,0,1,0,155,0,0
NC_2023-03-23/,0,1,0,300,0,0
NC_2023-03-24/,0,1,0,313,0,0
NC_2023-03-27/,0,1,0,304,0,0
NC_2023-03-28/,0,1,0,305,0,0
NC_2023-03-29/,0,1,0,323,0,0
NC_2023-03-30/,0,1,0,303,0,0
NC_2023-06-06/,0,1,0,334,0,0
NC_2023-06-07/,0,1,0,246,0,0
NC_2023-06-08/,0,1,0,106,0,0
NC_2023-06-09/,0,1,0,629,0,0
NC_2023-06-12/,0,1,0,673,1,673
NC_2023-06-13/,0,1,0,692,0,0
NC_2023-06-14/,0,1,0,638,0,0
NC_2023-06-15/,0,1,0,613,0,0
NC_2023-06-16/,0,1,0,608,0,0
NC_2023-06-19/,0,1,0,640,0,0
NC_2023-06-20/,0,1,0,79,0,0
NC_2023-06-23/,0,1,0,621,0,0
NC_2023-06-26/,0,1,0,644,0,0
NC_2023-06-27/,0,1,0,645,0,0
NC_2023-06-28/,0,1,0,609,0,0
NC_2023-06-29/,0,1,0,633,0,0
NC_2023-07-03/,0,1,0,626,1,626
NC_2023-07-05/,0,1,0,631,0,0
NC_2023-07-06/,0,1,0,621,1,621
NC_2023-07-07/,0,1,0,620,0,0
NC_2023-07-10/,0,1,0,31,1,31
NC_2023-07-11/,0,1,0,579,1,579
NC_2023-07-12/,0,1,0,648,0,0
NC_2023-07-17/,0,1,0,651,0,0
NC_2023-07-20/,0,1,0,648,1,400
NC_2023-07-21/,0,1,0,655,1,653
NC_2023-07-24/,0,1,0,651,0,0
NC_2023-07-25/,0,1,0,647,0,0
NC_2023-08-21/,0,1,0,513,0,0
NC_2023-08-22/,0,1,0,641,0,0
NC_2023-08-23/,0,1,0,596,0,0
NC_2023-08-24/,0,1,0,708,0,0
NC_2023-08-25/,0,1,0,590,0,0
NC_2023-08-28/,0,1,0,655,0,0
NC_2023-08-29/,0,1,0,634,0,0
NC_2023-08-30/,0,1,0,651,0,0
NC_2023-08-31/,0,1,0,659,0,0
NC_2023-09-01/,0,1,0,638,0,0
NC_2023-09-05/,0,1,0,638,0,0
NC_2023-09-06/,0,1,0,633,0,0
NC_2023-09-07/,0,1,0,654,0,0
NC_2023-09-08/,0,1,0,645,0,0
NC_2023-09-12/,0,1,0,611,0,0
NC_2023-09-13/,0,1,0,651,0,0
NC_2023-09-14/,0,1,0,737,0,0
NC_2023-09-15/,0,1,0,632,0,0
NC_2023-09-18/,0,1,0,648,0,0
NC_2023-09-19/,0,1,0,655,0,0
NC_2023-09-20/,0,1,0,645,0,0
NC_2023-09-21/,0,1,0,64,0,0
NC_2023-09-22/,0,1,0,667,0,0
NC_2023-09-25/,0,1,0,656,0,0
NC_2023-10-02/,0,1,0,421,0,0
NC_2023-10-03/,0,1,0,837,0,0
NC_2023-10-04/,0,1,0,756,0,0
NC_2023-10-05/,0,1,0,665,0,0
NC_2023-10-06/,0,1,0,655,0,0
NC_2023-10-09/,0,1,0,840,0,0
NC_2023-10-10/,0,1,0,446,0,0
NC_2023-10-12/,0,1,0,96,0,0
NC_2023-10-13/,0,1,0,99,0,0
NC_2023-10-16/,0,1,0,43,0,0
NC_2023-10-17/,0,1,0,135,0,0
NC_2023-10-19/,0,1,0,503,0,0
NC_2023-10-20/,0,1,0,263,0,0
NC_2023-10-23/,0,1,0,648,0,0
NC_2023-10-24/,0,1,0,734,0,0
NC_2023-10-25/,0,1,0,699,0,0
NC_2023-10-26/,0,1,0,700,0,0
NC_2023-10-27/,0,1,0,489,0,0
NC_2023-10-30/,0,1,0,687,0,0
NC_2023-10-31/,0,1,0,97,0,0
NC_2023-11-01/,0,1,0,572,0,0
NC_2023-11-06/,0,1,0,636,0,0
NC_2023-11-07/,0,1,0,556,0,0
NC_2023-11-08/,0,1,0,677,0,0
NC_2023-11-09/,0,1,0,631,0,0
NC_2023-11-10/,0,1,0,321,0,0
NC_2023-11-13/,0,1,0,621,0,0
NC_2023-11-14/,0,1,0,597,0,0
NC_2023-11-15/,0,1,0,552,0,0
NC_2023-11-16/,0,1,0,503,0,0
NC_2023-11-17/,0,1,0,533,0,0
NC_2023-11-27/,0,1,0,615,1,614
NC_2023-11-28/,0,1,0,627,0,0
NC_2023-11-29/,0,1,0,685,0,0
NC_2023-11-30/,0,1,0,691,0,0
NC_2023-12-04/,0,1,0,704,0,0
NC_2023-12-13/,0,1,0,623,0,0
NC_2023-12-14/,0,1,0,453,0,0
NC_2023-12-15/,0,1,0,673,0,0
NC_2023-12-18/,0,1,0,674,0,0
NC_2023-12-19/,0,1,0,687,0,0
NC_2023-12-20/,0,1,0,230,0,0
NC_2023-12-21/,0,1,0,489,1,467
NC_2024-01-03/,0,1,0,671,1,609
NC_2024-01-04/,0,1,0,442,1,282
NC_2024-01-05/,0,1,0,653,1,349
NC_2024-01-08/,0,1,0,626,1,605
NC_2024-01-10/,0,1,0,653,0,0
NC_2024-01-11/,0,1,0,654,1,600
NC_2024-01-12/,0,1,0,652,1,393
NC_2024-01-17/,0,1,0,492,0,0
NC_2024-01-18/,0,1,0,643,1,627
NC_2024-01-19/,0,1,0,640,0,0
NC_2024-01-22/,0,1,0,645,1,335
NC_2024-01-23/,0,1,0,224,1,213
NC_2024-01-26/,0,1,0,295,0,0
NC_2024-01-29/,0,1,0,625,0,0
NC_2024-02-01/,0,1,0,530,0,0
NC_2024-02-02/,0,1,0,685,0,0
NC_2024-02-05/,0,1,0,668,0,0
NC_2024-02-06/,0,1,0,616,0,0
NC_2024-02-07/,0,1,0,671,0,0
NC_2024-02-08/,0,1,0,518,0,0
NC_2024-02-09/,0,1,0,684,0,0
NC_2024-02-13/,0,1,0,534,0,0
NC_2024-02-14/,0,1,0,657,0,0
NC_2024-02-15/,0,1,0,452,0,0
NC_2024-02-20/,0,1,0,660,0,0
NC_2024-02-21/,0,1,0,672,0,0
NC_2024-02-22/,0,1,0,641,0,0
NC_2024-02-26/,0,1,0,671,0,0
NC_2024-02-27/,0,1,0,229,0,0
NC_2024-02-28/,0,1,0,639,0,0
NC_2024-02-29/,0,1,0,696,0,0
NC_2024-03-01/,0,1,0,466,0,0
NC_2024-03-04/,0,1,0,624,0,0
NC_2024-03-07/,0,1,0,673,0,0
NC_2024-03-08/,0,1,0,650,0,0
NC_2024-03-12/,0,1,0,619,0,0
NC_2024-03-13/,0,1,0,639,0,0
NC_2024-03-14/,0,1,0,668,0,0
NC_2024-07-09/,0,1,0,795,0,0
NC_2024-07-10/,0,1,0,1046,0,0
NC_2024-07-11/,0,1,0,680,0,0
NC_2024-07-15/,0,1,0,744,0,0
NC_2024-07-16/,0,1,0,752,0,0
NC_2024-07-17/,0,1,0,523,0,0
NC_2024-07-18/,0,1,0,361,0,0
NC_2024-07-22/,0,1,0,362,0,0
NC_2024-07-23/,0,1,0,457,0,0
NC_2024-07-30/,0,1,0,343,0,0
NC_2024-07-31/,0,1,0,421,0,0
NC_2024-08-02/,0,1,0,496,0,0
NC_2024-08-05/,0,1,0,262,0,0
NC_2024-12-02/,1,1,597,597,1,597
NC_2024-12-04/,1,1,570,570,1,570
NC_2024-12-06/,1,1,571,571,1,571
NC_2024-12-10/,0,1,0,428,0,0
NC_2024-12-12/,1,1,627,625,1,625
NC_2024-12-16/,1,1,566,566,1,566
NC_2025-01-28/,0,1,0,567,0,0
NC_2025-02-03/,0,1,0,587,1,587
NC_2025-02-05/,0,1,0,574,1,574
NC_2025-02-07/,0,1,0,574,1,574
NC_2025-02-14/,0,1,0,574,1,574
NC_2025-02-17/,0,1,0,588,1,588
NC_2025-02-21/,0,1,0,572,1,572
NC_2025-02-24/,0,1,0,602,1,602
NC_2025-02-26/,0,1,0,587,1,587
NC_2025-02-28/,0,1,0,670,1,670
